vendor_id,dropoff_datetime,rate_code,passenger_count,trip_distance,payment_type,fare_amount,extra,tip_amount,tolls_amount,imp_surcharge,total_amount
2,2017-01-01 18:50:22+00:00,Standard rate,1,1.13,Cash,11.0,0.0,0.0,0.0,0.3,11.8
2,2017-01-01 18:46:13+00:00,Standard rate,2,1.86,Credit Card,9.0,0.0,0.0,0.0,0.3,9.8
2,2017-01-01 18:44:25+00:00,Standard rate,3,1.56,Credit Card,8.0,0.0,1.32,0.0,0.3,10.12
2,2017-01-01 18:43:48+00:00,Standard rate,2,3.14,Cash,12.0,0.0,0.0,0.0,0.3,12.8
2,2017-01-01 18:38:45+00:00,Standard rate,1,13.62,Credit Card,49.0,0.0,7.47,0.0,0.3,57.27
2,2017-01-01 18:37:23+00:00,Standard rate,1,2.77,Cash,12.5,0.0,0.0,0.0,0.3,13.3
2,2017-01-01 18:34:36+00:00,Standard rate,1,1.42,Cash,8.5,0.0,0.0,0.0,0.3,9.3
2,2017-01-01 18:33:35+00:00,Standard rate,2,1.79,Credit Card,9.0,0.0,1.96,0.0,0.3,11.76
2,2017-01-01 18:30:11+00:00,Standard rate,1,8.39,Cash,32.0,0.5,0.0,0.0,0.3,33.3
2,2017-01-01 18:29:31+00:00,Standard rate,1,3.85,Cash,23.0,0.0,0.0,0.0,0.3,23.8
2,2017-01-01 18:28:00+00:00,Standard rate,1,3.48,Credit Card,13.5,0.0,2.86,0.0,0.3,17.16
2,2017-01-01 18:23:45+00:00,Standard rate,4,0.56,Cash,4.5,0.0,0.0,0.0,0.3,5.3
2,2017-01-01 18:21:34+00:00,Standard rate,2,7.48,Cash,28.0,0.0,0.0,0.0,0.3,28.8
2,2017-01-01 18:20:41+00:00,Standard rate,1,1.84,Credit Card,10.0,0.0,2.7,0.0,0.3,13.5
2,2017-01-01 18:18:22+00:00,Standard rate,2,1.11,Credit Card,9.0,0.0,0.49,0.0,0.3,10.29
2,2017-01-01 18:13:03+00:00,Standard rate,1,2.25,Credit Card,11.5,0.0,2.46,0.0,0.3,14.76
2,2017-01-01 18:11:50+00:00,Standard rate,1,3.4,Credit Card,15.0,0.0,1.58,0.0,0.3,17.38
2,2017-01-01 18:10:57+00:00,Standard rate,1,4.74,Cash,19.0,0.0,0.0,0.0,0.3,19.8
2,2017-01-01 18:09:31+00:00,Standard rate,2,3.65,Credit Card,16.0,0.0,3.36,0.0,0.3,20.16
2,2017-01-01 18:08:39+00:00,Standard rate,1,0.86,Credit Card,5.5,0.0,0.0,0.0,0.3,6.3
2,2017-01-01 18:07:45+00:00,Standard rate,1,0.96,Cash,5.5,0.0,0.0,0.0,0.3,6.3
2,2017-01-01 18:05:16+00:00,Standard rate,1,3.75,Credit Card,15.0,0.0,0.0,0.0,0.3,15.8
2,2017-01-01 18:02:38+00:00,Standard rate,1,3.4,Cash,17.0,0.0,0.0,0.0,0.3,17.8
2,2017-01-01 18:00:45+00:00,Standard rate,4,3.82,Cash,15.5,0.0,0.0,0.0,0.3,16.3
2,2017-01-01 17:54:00+00:00,Standard rate,1,0.99,Cash,6.5,0.0,0.0,0.0,0.3,7.3
2,2017-01-01 17:49:55+00:00,Standard rate,1,0.3,Credit Card,3.0,0.0,1.14,0.0,0.3,4.94
2,2017-01-01 17:40:53+00:00,Standard rate,1,1.09,Cash,6.5,0.0,0.0,0.0,0.3,7.3
2,2017-01-01 17:40:15+00:00,Standard rate,1,1.14,Credit Card,6.5,0.0,0.73,0.0,0.3,8.03
2,2017-01-01 17:38:39+00:00,Standard rate,2,1.11,Cash,7.5,0.0,0.0,0.0,0.3,8.3
2,2017-01-01 17:38:26+00:00,Standard rate,1,2.62,Credit Card,12.0,0.0,0.0,0.0,0.3,12.8
2,2017-01-01 17:34:00+00:00,Standard rate,2,5.38,Cash,17.0,0.0,0.0,0.0,0.3,17.8
2,2017-01-01 17:25:49+00:00,Standard rate,1,1.55,Credit Card,8.0,0.0,0.0,0.0,0.3,8.8
2,2017-01-01 17:24:21+00:00,Standard rate,1,1.8,Credit Card,9.5,0.0,0.0,0.0,0.3,10.3
2,2017-01-01 17:21:49+00:00,Standard rate,2,4.7,Cash,15.5,0.0,0.0,0.0,0.3,16.3
2,2017-01-01 17:19:22+00:00,Standard rate,1,2.8,Credit Card,13.0,0.0,1.38,0.0,0.3,15.18
2,2017-01-01 17:15:44+00:00,Standard rate,1,0.8,Cash,5.5,0.0,0.0,0.0,0.3,6.3
2,2017-01-01 17:14:55+00:00,Standard rate,6,6.3,Credit Card,21.0,0.5,2.0,0.0,0.3,24.3
2,2017-01-01 17:10:07+00:00,Standard rate,1,10.04,Cash,29.0,0.0,0.0,5.54,0.3,35.34
2,2017-01-01 17:09:19+00:00,Standard rate,1,1.17,Cash,7.5,0.0,0.0,0.0,0.3,8.3
2,2017-01-01 17:06:33+00:00,Standard rate,1,1.26,Cash,6.5,0.0,0.0,0.0,0.3,7.3
2,2017-01-01 17:05:47+00:00,Standard rate,6,2.0,Credit Card,9.0,0.5,1.7,0.0,0.3,12.0
2,2017-01-01 17:05:24+00:00,Standard rate,5,3.12,Credit Card,14.0,0.5,3.06,0.0,0.3,18.36
2,2017-01-01 17:04:14+00:00,Standard rate,1,0.49,Cash,4.5,0.0,0.0,0.0,0.3,5.3
2,2017-01-01 17:03:01+00:00,Standard rate,5,3.79,Cash,16.0,0.5,0.0,0.0,0.3,17.3
2,2017-01-01 17:01:58+00:00,Standard rate,1,5.41,Credit Card,16.5,0.0,0.0,0.0,0.3,17.3
2,2017-01-01 16:59:51+00:00,Standard rate,6,0.51,Cash,4.5,0.0,0.0,0.0,0.3,5.3
2,2017-01-01 16:59:47+00:00,Standard rate,6,2.32,Credit Card,11.0,0.5,2.46,0.0,0.3,14.76
2,2017-01-01 16:49:07+00:00,Standard rate,1,5.6,Cash,20.5,0.0,0.0,0.0,0.3,21.3
2,2017-01-01 16:48:52+00:00,Standard rate,2,15.0,Cash,42.0,0.0,0.0,0.0,0.3,42.8
2,2017-01-01 16:48:31+00:00,Standard rate,2,2.94,Cash,13.5,0.0,0.0,0.0,0.3,14.3
2,2017-01-01 16:35:40+00:00,Standard rate,2,1.97,Cash,13.0,0.0,0.0,0.0,0.3,13.8
2,2017-01-01 16:31:03+00:00,Standard rate,5,20.48,Credit Card,54.0,0.0,10.96,0.0,0.3,65.76
2,2017-01-01 16:27:22+00:00,Standard rate,5,1.98,Cash,16.0,0.0,0.0,0.0,0.3,16.8
2,2017-01-01 16:27:18+00:00,Standard rate,3,1.48,Cash,8.0,0.0,0.0,0.0,0.3,8.8
2,2017-01-01 16:25:45+00:00,Standard rate,1,0.56,Cash,4.0,0.0,0.0,0.0,0.3,4.8
2,2017-01-01 16:23:06+00:00,Standard rate,2,0.83,Credit Card,6.0,0.0,0.0,0.0,0.3,6.8
2,2017-01-01 16:22:36+00:00,Standard rate,1,2.96,Credit Card,12.0,0.0,5.12,0.0,0.3,17.92
2,2017-01-01 16:19:03+00:00,Standard rate,1,1.19,Cash,6.0,0.0,0.0,0.0,0.3,6.8
2,2017-01-01 16:16:15+00:00,Standard rate,2,2.86,Credit Card,12.5,0.0,2.0,0.0,0.3,15.3
2,2017-01-01 16:15:32+00:00,Standard rate,1,0.88,Cash,5.5,0.0,0.0,0.0,0.3,6.3
2,2017-01-01 16:15:30+00:00,Standard rate,1,1.06,Cash,6.5,0.0,0.0,0.0,0.3,7.3
2,2017-01-01 16:14:02+00:00,Standard rate,2,7.35,Credit Card,26.0,0.0,5.36,0.0,0.3,32.16
2,2017-01-01 16:10:19+00:00,Standard rate,2,0.53,Cash,4.5,0.0,0.0,0.0,0.3,5.3
2,2017-01-01 16:05:04+00:00,Standard rate,1,0.61,Cash,6.0,0.0,0.0,0.0,0.3,6.8
2,2017-01-01 16:03:54+00:00,Standard rate,1,2.08,Cash,10.5,0.0,0.0,0.0,0.3,11.3
2,2017-01-01 16:03:39+00:00,Standard rate,1,2.69,Cash,13.0,0.0,0.0,0.0,0.3,13.8
2,2017-01-01 16:02:53+00:00,Standard rate,3,0.38,Credit Card,3.5,0.0,0.0,0.0,0.3,4.3
2,2017-01-01 16:02:03+00:00,Standard rate,1,3.13,Cash,11.5,0.0,0.0,0.0,0.3,12.3
2,2017-01-01 15:55:36+00:00,Standard rate,1,1.57,Cash,9.0,0.0,0.0,0.0,0.3,9.8
2,2017-01-01 15:53:27+00:00,Standard rate,1,0.75,Cash,5.5,0.0,0.0,0.0,0.3,6.3
2,2017-01-01 15:52:49+00:00,Standard rate,1,2.77,Cash,12.5,0.0,0.0,0.0,0.3,13.3
2,2017-01-01 15:51:51+00:00,Standard rate,2,4.35,Cash,15.5,0.0,0.0,0.0,0.3,16.3
2,2017-01-01 15:48:37+00:00,Standard rate,4,2.29,Credit Card,11.0,0.0,1.77,0.0,0.3,13.57
2,2017-01-01 15:47:42+00:00,Standard rate,4,6.4,Cash,26.5,0.0,0.0,0.0,0.3,27.3
2,2017-01-01 15:46:48+00:00,Standard rate,1,1.92,Credit Card,13.5,0.0,0.72,0.0,0.3,15.02
2,2017-01-01 15:46:37+00:00,Standard rate,3,0.79,Cash,5.0,0.0,0.0,0.0,0.3,5.8
2,2017-01-01 15:45:45+00:00,Standard rate,4,2.24,Credit Card,9.5,0.0,0.0,0.0,0.3,10.3
2,2017-01-01 15:45:16+00:00,Standard rate,2,1.16,Credit Card,8.0,0.0,0.0,0.0,0.3,8.8
2,2017-01-01 15:44:39+00:00,Standard rate,3,6.49,Credit Card,22.0,0.0,4.56,0.0,0.3,27.36
2,2017-01-01 15:43:37+00:00,Standard rate,4,5.17,Credit Card,15.5,0.0,0.0,0.0,0.3,16.3
2,2017-01-01 15:43:08+00:00,Standard rate,3,5.6,Cash,20.5,0.5,0.0,0.0,0.3,21.8
2,2017-01-01 15:42:45+00:00,Standard rate,1,2.9,Cash,11.0,0.0,0.0,0.0,0.3,11.8
2,2017-01-01 15:42:12+00:00,Standard rate,1,0.97,Cash,6.0,0.0,0.0,0.0,0.3,6.8
2,2017-01-01 15:36:02+00:00,Standard rate,3,10.06,Credit Card,31.0,0.0,0.0,0.0,0.3,31.8
2,2017-01-01 15:33:12+00:00,Standard rate,1,3.29,Cash,16.0,0.0,0.0,0.0,0.3,16.8
2,2017-01-01 15:31:46+00:00,Standard rate,2,0.92,Cash,6.5,0.0,0.0,0.0,0.3,7.3
2,2017-01-01 15:30:43+00:00,Standard rate,3,3.95,Credit Card,16.5,0.0,2.6,0.0,0.3,19.9
2,2017-01-01 15:28:34+00:00,Standard rate,2,1.15,Cash,6.5,0.0,0.0,0.0,0.3,7.3
2,2017-01-01 15:24:57+00:00,Standard rate,2,4.63,Credit Card,16.5,0.0,2.6,0.0,0.3,19.9
2,2017-01-01 15:23:52+00:00,Standard rate,1,2.48,Cash,20.5,0.0,0.0,0.0,0.3,21.3
2,2017-01-01 15:23:47+00:00,Standard rate,3,4.17,Cash,17.0,0.0,0.0,0.0,0.3,17.8
2,2017-01-01 15:23:21+00:00,Standard rate,1,2.66,Credit Card,14.0,0.0,2.22,0.0,0.3,17.02
2,2017-01-01 15:21:51+00:00,Standard rate,2,5.34,Cash,18.5,0.0,0.0,0.0,0.3,19.3
2,2017-01-01 15:19:24+00:00,Standard rate,1,1.22,Cash,6.5,0.0,0.0,0.0,0.3,7.3
2,2017-01-01 15:12:13+00:00,JFK,2,18.22,Cash,52.0,0.0,0.0,5.54,0.3,58.34
2,2017-01-01 15:11:08+00:00,Standard rate,1,2.3,Cash,11.0,0.0,0.0,0.0,0.3,11.8
2,2017-01-01 15:03:37+00:00,Standard rate,1,0.98,Cash,6.5,0.0,0.0,0.0,0.3,7.3
2,2017-01-01 15:02:28+00:00,Standard rate,1,1.38,Credit Card,7.0,0.0,0.0,0.0,0.3,7.8
2,2017-01-01 15:02:01+00:00,Standard rate,1,1.91,Credit Card,10.5,0.0,0.0,0.0,0.3,11.3
2,2017-01-01 15:01:08+00:00,Standard rate,5,0.96,Credit Card,5.0,0.0,0.0,0.0,0.3,5.8
2,2017-01-01 14:52:13+00:00,Standard rate,3,4.99,Credit Card,15.5,0.0,3.26,0.0,0.3,19.56
2,2017-01-01 14:42:23+00:00,Standard rate,2,2.33,Cash,11.0,0.0,0.0,0.0,0.3,11.8
2,2017-01-01 14:34:26+00:00,Standard rate,2,2.2,Cash,10.0,0.0,0.0,0.0,0.3,10.8
2,2017-01-01 14:34:13+00:00,Standard rate,2,9.52,Cash,27.5,0.0,0.0,0.0,0.3,28.3
2,2017-01-01 14:30:42+00:00,Standard rate,1,3.27,Cash,16.0,0.0,0.0,0.0,0.3,16.8
2,2017-01-01 14:27:04+00:00,Standard rate,1,1.77,Credit Card,8.0,0.0,0.0,0.0,0.3,8.8
2,2017-01-01 14:22:47+00:00,Standard rate,3,2.98,Credit Card,18.5,0.0,4.82,0.0,0.3,24.12
2,2017-01-01 14:18:51+00:00,Standard rate,1,3.4,Cash,15.0,0.0,0.0,0.0,0.3,15.8
